ID_player,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,ID_ns,ingestion_date
2166,A.J. Lawson,A.J.,1610612742,DAL,23,42,27,15,643,3109,54,121,446,13,50,26,15,23,652,14,36,50,20,14,10,3,8,22,13,136,18,251,0,0,245,341,231,168,105,410,378,373,303,346,338,428,382,374,445,389,407,408,414,394,386,428,211,148,415,385,192,400,257,38,405,1,2024-10-16 18:16:42
1391,AJ Green,AJ,1610612749,MIL,24,56,35,21,625,6142816768,83,196,423,69,169,408,17,19,895,9,55,64,30,12,9,4,3,49,20,252,50,4008,0,0,441,252,155,253,128,333,327,320,393,191,205,72,372,388,54,424,366,381,373,409,398,410,121,223,375,313,145,369,257,38,343,2,2024-10-16 18:16:42
1423,AJ Griffin,AJ,1610612737,ATL,20,20,8,12,4,17073,18,62,29,10,39,256,2,2,1,2,16,18,5,8,1,2,3,6,1,48,-51,781,0,0,87,439,423,138,385,445,447,434,541,372,363,429,487,493,1,507,463,475,488,435,509,451,121,77,519,450,396,480,257,38,469,3,2024-10-16 18:16:42
1347,Aaron Gordon,Aaron,1610612743,DEN,28,73,49,24,671,229681,398,716,556,40,138,29,177,269,658,174,297,471,259,105,56,45,57,142,223,1013,423,21647,12,0,1985,99,29,282,75,55,78,114,77,258,238,399,69,54,440,21,70,46,83,103,119,79,520,457,52,93,13,79,54,38,87,4,2024-10-16 18:16:42
1672,Aaron Holiday,Aaron,1610612745,HOU,27,78,39,39,5,1269296640,186,417,446,84,217,387,58,63,921,23,100,123,140,53,42,6,20,125,65,514,85,9626,0,0,957,43,117,497,300,217,216,209,305,152,167,129,217,247,37,318,299,310,157,229,194,370,335,419,238,216,123,243,257,38,233,5,2024-10-16 18:16:42
2712,Aaron Nesmith,Aaron,1610612754,IND,24,72,41,31,569,1994655,315,635,496,140,334,419,107,137,781,63,212,275,108,64,65,49,51,241,145,877,161,1647,1,0,1628,108,97,406,227,105,132,133,158,70,91,44,131,132,256,138,144,142,208,198,87,61,499,568,103,117,79,133,190,38,133,6,2024-10-16 18:16:42
3965,Aaron Wiggins,Aaron,1610612760,OKC,25,78,55,23,705,1227938304,212,377,562,62,126,492,56,71,789,60,126,186,86,56,56,19,33,91,59,542,94,10632,0,0,1026,43,14,272,50,224,199,224,71,201,248,15,223,228,241,153,255,238,248,218,119,219,421,336,248,202,117,222,257,38,218,7,2024-10-16 18:16:42
2585,Adam Flagler,Adam,1610612760,OKC,24,2,2,0,1,1401666688,1,7,143,1,6,167,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,9,0,0,8,555,511,1,1,554,550,541,558,467,467,473,531,538,531,545,557,561,507,550,539,520,1,1,547,552,254,553,257,38,553,8,2024-10-16 18:16:42
2585,Adama Sanogo,Adama,1610612741,CHI,22,9,3,6,333,6576166912,14,27,519,0,0,0,8,12,667,19,17,36,0,5,1,0,2,5,7,36,34,772,1,0,74,498,489,80,432,502,473,482,114,498,541,498,425,426,424,345,458,433,553,462,509,520,82,61,458,472,159,481,190,38,481,9,2024-10-16 18:16:42
3294,Admiral Schofield,Admiral,1610612753,ORL,27,23,15,8,652,8435833344,10,26,385,6,16,375,0,2,0,3,14,17,7,5,1,0,3,9,3,26,-13,549,0,0,58,420,347,110,98,485,487,484,475,402,418,168,531,493,531,487,471,479,473,462,509,520,121,91,485,491,301,499,257,38,489,10,2024-10-16 18:16:42
